직업,연소득,신용점수,DTI,근속연도,담보가치,승인여부
중소기업,3812,256,27,12,16200,거부
대기업,6922,818,70,8,19200,거부
중소기업,9565,792,38,3,27800,승인
전문직,8300,824,30,3,29000,승인
대기업,9655,123,26,7,31500,거부
중소기업,4417,965,32,6,24100,승인
기타,4629,742,42,9,15100,거부
기타,4892,986,28,12,15900,거부
기타,10135,964,94,14,39000,거부
중소기업,4385,652,20,3,37700,승인
전문직,14973,990,28,3,32900,승인
기타,3362,928,42,1,15000,거부
중소기업,5465,983,23,12,15600,거부
기타,5143,993,21,4,17400,거부
기타,2153,731,28,7,15000,거부
기타,5121,975,32,3,18800,거부
중소기업,4150,846,32,2,27000,승인
중소기업,9935,714,40,1,32300,승인
기타,5317,862,37,5,31900,승인
중소기업,3588,965,16,7,15000,거부
중소기업,3423,870,59,12,15000,거부
대기업,11183,969,45,2,36000,승인
기타,3200,742,31,6,15000,거부
대기업,9451,504,57,2,25800,승인
대기업,12760,774,45,10,34200,승인
전문직,10027,792,33,3,31900,승인
대기업,12675,616,94,3,38600,거부
기타,4267,926,40,7,17400,거부
중소기업,3286,802,26,3,15000,거부
대기업,8915,770,34,5,28700,승인
기타,5528,756,35,11,16400,거부
대기업,14158,802,31,3,33300,승인
대기업,11325,993,21,1,33300,승인
대기업,10741,667,17,9,33900,승인
중소기업,6904,730,2,6,15600,거부
중소기업,4664,892,40,10,24800,승인
기타,3221,691,22,3,15000,거부
기타,3133,865,35,11,15000,거부
기타,2095,845,57,5,15000,거부
기타,2684,900,46,13,15000,거부
대기업,7383,882,48,1,36700,승인
대기업,13327,786,48,11,35400,승인
대기업,7664,771,66,8,29300,거부
대기업,6673,935,50,4,15300,거부
대기업,5834,125,12,2,19900,거부
대기업,14552,995,48,9,31700,승인
기타,2774,705,32,5,15000,거부
중소기업,7642,927,99,14,21800,거부
중소기업,4201,708,21,2,16100,거부
전문직,16171,961,40,10,86800,승인
대기업,6202,475,32,3,16600,거부
전문직,13168,957,29,4,30400,승인
중소기업,8270,949,11,3,33200,승인
대기업,10518,779,18,5,64100,승인
중소기업,6722,962,54,5,15500,거부
대기업,9682,699,41,3,36900,승인
전문직,16881,720,13,5,76500,승인
전문직,12925,574,36,10,35500,승인
기타,2084,991,27,2,15000,거부
중소기업,4218,939,30,1,33400,승인
중소기업,7221,794,6,8,26600,승인
대기업,10156,775,41,6,55700,승인
대기업,5201,982,28,6,26700,승인
중소기업,4341,950,39,1,17600,거부
대기업,7338,137,13,1,23900,거부
전문직,9537,721,37,7,35900,승인
전문직,17188,648,22,7,77900,승인
대기업,7918,971,29,14,29400,승인
대기업,8388,916,23,8,22700,승인
대기업,6597,961,48,12,15800,거부
대기업,11681,921,38,3,35300,승인
기타,2881,908,57,3,15000,거부
대기업,5590,750,45,12,26400,승인
중소기업,3625,955,28,9,19400,거부
대기업,7641,873,25,12,22000,승인
중소기업,4062,740,23,2,15400,거부
중소기업,4857,770,33,4,16600,거부
전문직,13692,895,27,10,31700,승인
전문직,16226,770,84,3,57100,거부
기타,2251,704,33,9,19200,거부
기타,7857,919,28,5,27700,승인
대기업,8430,55,52,3,23400,거부
중소기업,3307,764,30,1,19700,거부
중소기업,3054,838,15,4,15000,거부
중소기업,7974,675,2,2,36800,승인
중소기업,3233,701,52,5,15000,거부
대기업,13701,999,34,2,39300,승인
대기업,10077,997,9,1,37800,승인
대기업,11772,729,54,1,66600,승인
중소기업,3592,880,29,1,15000,거부
기타,3157,967,20,11,15000,거부
대기업,8314,942,37,5,55100,승인
대기업,10154,941,45,4,30100,승인
대기업,11745,820,29,4,62400,승인
중소기업,4381,841,54,15,18200,거부
중소기업,8326,989,27,7,20300,승인
중소기업,4116,715,45,1,38700,승인
대기업,13584,614,17,3,36000,승인
전문직,13136,987,20,12,35100,승인
중소기업,11498,928,6,8,37200,승인
전문직,9192,867,54,11,20600,승인
전문직,15848,963,53,17,88200,승인
기타,8245,133,39,5,31400,거부
대기업,8828,941,24,23,35200,승인
중소기업,4652,756,40,9,17200,거부
전문직,15698,798,64,4,87800,거부
중소기업,4882,654,87,12,15500,거부
중소기업,5118,965,38,10,15100,거부
중소기업,3021,959,28,9,16600,거부
중소기업,4354,934,45,8,19800,거부
중소기업,9640,965,19,11,53000,승인
대기업,8677,896,34,7,47000,승인
대기업,7579,529,26,5,32600,승인
전문직,17231,471,43,3,69000,승인
중소기업,10241,937,13,4,30700,승인
대기업,13359,852,47,5,39600,승인
대기업,9451,991,41,13,21200,승인
기타,10563,746,48,7,35600,승인
대기업,8583,883,9,3,27400,승인
중소기업,3597,901,51,5,15000,거부
전문직,14210,82,38,1,66100,거부
대기업,7462,746,34,1,33500,승인
전문직,11914,620,19,3,39600,승인
대기업,10300,681,49,8,32500,승인
기타,4002,963,29,9,39400,승인
대기업,9517,748,36,8,55700,승인
중소기업,4355,774,41,6,18700,거부
대기업,7218,891,5,5,37500,승인
중소기업,3401,754,31,14,15000,거부
대기업,5928,878,25,3,39700,승인
기타,5659,858,24,8,15600,거부
중소기업,3232,943,27,13,19100,거부
기타,3732,257,20,11,27600,거부
기타,2024,970,35,4,15000,거부
중소기업,6710,987,2,5,19800,거부
전문직,9026,827,31,6,27200,승인
중소기업,3218,998,19,3,15000,거부
전문직,8918,909,21,2,25000,승인
전문직,14593,737,37,23,38900,승인
대기업,9247,728,53,29,21700,승인
전문직,6815,764,56,4,26800,승인
중소기업,4048,965,30,5,16800,거부
기타,2495,913,50,7,15000,거부
전문직,16746,739,27,1,57900,승인
기타,2284,928,45,6,24700,거부
중소기업,4582,740,41,3,17400,거부
중소기업,4983,789,45,12,26800,승인
대기업,7733,777,59,3,36900,승인
대기업,9503,743,20,5,20200,승인
기타,3521,988,23,2,15000,거부
대기업,7789,982,41,7,35900,승인
기타,8185,759,10,9,39300,승인
중소기업,4369,782,59,20,19200,거부
중소기업,3543,943,58,11,15000,거부
대기업,7661,807,26,2,29000,승인
기타,4315,934,18,2,19200,거부
기타,2857,716,78,1,15000,거부
중소기업,3071,918,10,11,15000,거부
중소기업,11228,913,44,14,70800,승인
대기업,9299,966,25,5,24500,승인
중소기업,11066,36,39,11,52500,거부
기타,2699,992,2,2,18500,거부
기타,4660,940,59,1,18400,거부
중소기업,3752,883,33,2,15000,거부
대기업,14803,987,31,2,59100,승인
대기업,9854,703,2,2,31000,승인
중소기업,3017,909,30,7,15000,거부
기타,3586,684,22,14,17700,거부
대기업,6362,724,34,1,28100,승인
기타,7991,968,2,19,20100,승인
중소기업,8946,917,61,1,20900,거부
기타,4960,942,30,6,15200,거부
중소기업,4433,728,22,5,35200,승인
전문직,11643,761,58,15,35100,승인
기타,3134,994,4,3,18600,거부
전문직,13552,946,82,1,36500,거부
중소기업,3447,710,30,1,15000,거부
기타,4140,745,36,2,21100,거부
기타,5436,994,49,10,15400,거부
대기업,12054,648,59,10,39700,승인
대기업,6890,922,25,7,34100,승인
중소기업,4282,933,37,3,27100,승인
중소기업,4160,613,22,2,16300,거부
중소기업,10573,975,71,3,33500,거부
대기업,8512,906,39,3,20900,승인
대기업,5948,992,47,1,37800,승인
대기업,8681,967,32,10,29400,승인
대기업,11877,415,45,5,30800,승인
전문직,7763,812,42,3,26700,승인
중소기업,4254,722,54,3,17300,거부
전문직,8603,286,49,30,24000,거부
대기업,11293,849,44,8,32800,승인
중소기업,5172,855,22,3,19200,거부
기타,4102,927,0,6,28000,승인
중소기업,6323,850,21,3,20800,거부
중소기업,3368,724,52,8,22100,거부
중소기업,8907,95,28,4,53500,거부
대기업,6630,939,49,10,19400,거부
대기업,10415,899,93,4,37200,거부
중소기업,4786,904,35,5,17000,거부
전문직,16390,739,23,16,84200,승인
대기업,7761,991,23,12,37100,승인
전문직,6467,556,77,2,16500,거부
기타,3052,819,37,7,26600,승인
대기업,7800,963,32,5,29300,승인
전문직,16847,924,61,2,69700,거부
전문직,13193,982,7,5,31800,승인
기타,7122,871,14,13,20100,거부
중소기업,4452,484,29,4,22700,거부
중소기업,3354,799,46,14,15000,거부
기타,3712,979,20,6,15000,거부
기타,5996,997,15,7,18700,거부
기타,2533,666,14,1,15000,거부
대기업,9910,930,32,3,25000,승인
중소기업,10413,866,22,5,30700,승인
전문직,6718,609,37,11,18500,거부
대기업,8311,992,6,13,26000,승인
대기업,14490,619,22,4,38400,승인
중소기업,3866,776,1,12,22300,거부
기타,3287,801,28,7,15000,거부
중소기업,3736,955,29,19,18700,거부
중소기업,6790,651,48,1,16700,거부
전문직,16423,957,38,11,85700,승인
중소기업,6125,973,43,2,17500,거부
전문직,10092,813,37,15,53100,승인
중소기업,4959,973,4,6,18900,거부
중소기업,3184,970,20,12,15000,거부
대기업,7819,730,21,2,25600,승인
대기업,13026,901,26,26,31500,승인
대기업,8601,989,47,9,27600,승인
기타,5229,903,20,3,17700,거부
중소기업,4670,925,47,25,15400,거부
중소기업,3015,906,27,1,15000,거부
기타,4360,929,67,15,17900,거부
중소기업,3558,809,74,9,15600,거부
기타,5559,748,23,12,18000,거부
전문직,8305,922,29,2,32100,승인
기타,3636,883,24,6,21100,거부
전문직,15105,976,49,17,117100,승인
기타,3249,950,27,2,15000,거부
대기업,10978,613,20,2,43500,승인
기타,2063,149,49,5,15000,거부
전문직,8886,901,37,11,56700,승인
대기업,9752,920,35,12,21500,승인
기타,10599,768,33,10,36200,승인
대기업,7125,917,58,8,31600,승인
대기업,6520,763,22,4,16700,거부
대기업,7739,903,51,6,25500,승인
중소기업,3974,901,47,7,17100,거부
대기업,6239,969,22,5,21700,승인
대기업,11003,707,47,9,31500,승인
기타,6023,835,43,8,21600,승인
전문직,18539,706,14,2,67200,승인
중소기업,4330,806,12,5,31100,승인
기타,4565,909,39,3,15900,거부
기타,2984,755,4,7,15000,거부
중소기업,5552,701,35,6,16800,거부
대기업,7780,612,14,15,34800,승인
중소기업,11496,921,24,4,30500,승인
중소기업,6764,737,14,7,22500,승인
중소기업,4904,892,43,1,15400,거부
중소기업,5798,711,25,2,15500,거부
대기업,13238,655,80,6,46300,거부
전문직,13921,968,3,5,52100,승인
기타,2809,803,29,6,15000,거부
기타,5702,975,33,6,15700,거부
대기업,11264,760,44,1,65200,승인
대기업,5266,826,29,4,16700,거부
중소기업,10582,958,49,7,34800,승인
기타,3798,829,29,7,15000,거부
대기업,8587,945,45,1,25700,승인
중소기업,8966,730,58,5,58600,승인
기타,3183,804,59,5,25800,승인
기타,10174,996,52,13,52000,승인
기타,3764,706,47,1,15000,거부
대기업,9004,748,33,2,25000,승인
대기업,9674,921,28,3,20700,승인
중소기업,3877,970,31,14,15000,거부
기타,10161,950,14,5,51400,승인
기타,4253,953,56,10,15400,거부
전문직,11097,994,40,2,39700,승인
전문직,11365,943,12,1,36100,승인
중소기업,4729,787,16,8,15900,거부
기타,4642,724,2,3,18400,거부
기타,4602,921,49,4,33200,승인
중소기업,4926,714,43,12,18900,거부
대기업,9453,765,34,1,29100,승인
중소기업,6996,708,24,9,15600,거부
기타,3739,728,32,6,22000,거부
기타,4113,730,4,15,16800,거부
기타,10940,851,25,5,30700,승인
중소기업,4638,987,33,15,15600,거부
중소기업,6829,777,30,8,37400,승인
중소기업,4259,912,29,4,17900,거부
전문직,18411,944,38,10,78800,승인
기타,11449,643,29,8,31600,승인
기타,4240,947,25,10,39600,승인
기타,4158,987,30,6,18200,거부
기타,6997,974,33,2,18600,거부
대기업,9349,217,29,8,24000,거부
대기업,9019,839,24,5,29000,승인
기타,2484,790,39,9,17000,거부
기타,2357,858,5,10,15000,거부
중소기업,3148,791,9,8,16800,거부
중소기업,6883,765,32,12,16400,거부
중소기업,4841,911,35,11,18600,거부
기타,10738,775,47,14,32000,승인
대기업,14465,962,45,5,37100,승인
중소기업,3606,920,24,26,15000,거부
대기업,8001,857,3,1,29400,승인
대기업,5635,709,45,4,25300,승인
중소기업,6668,776,59,4,15200,거부
중소기업,3704,692,36,7,15000,거부
대기업,14345,720,16,4,54900,승인
대기업,7077,642,34,10,27700,승인
대기업,9268,741,46,9,27100,승인
대기업,12637,188,35,8,38000,거부
기타,4396,804,48,2,17200,거부
대기업,8587,847,22,29,25100,승인
대기업,6173,902,32,12,16400,거부
기타,9143,762,32,10,24100,승인
중소기업,5061,656,37,7,16000,거부
중소기업,4484,842,24,1,28800,승인
전문직,8697,682,56,5,23600,승인
대기업,8230,709,91,6,21200,거부
대기업,10123,763,41,1,38300,승인
대기업,7424,61,2,11,20600,거부
중소기업,5832,686,23,3,17100,거부
중소기업,4172,920,32,8,36100,승인
전문직,12012,955,35,2,39700,승인
중소기업,3751,853,18,3,15000,거부
대기업,7083,851,2,10,29500,승인
중소기업,3907,951,22,1,15000,거부
중소기업,9814,855,51,3,33700,승인
기타,5604,110,40,8,19000,거부
중소기업,4660,984,26,13,16500,거부
대기업,9527,975,54,3,38100,승인
대기업,10651,848,33,8,34800,승인
중소기업,5795,749,75,9,32500,거부
대기업,7820,609,38,1,29200,승인
기타,3775,904,26,9,22400,거부
기타,2923,674,72,2,17700,거부
중소기업,4835,880,44,9,17500,거부
기타,5325,787,21,3,17500,거부
중소기업,3819,955,11,9,15000,거부
중소기업,11368,972,30,14,30100,승인
중소기업,8928,956,94,4,22000,거부
기타,3956,971,26,5,15000,거부
중소기업,4402,709,38,11,29300,승인
중소기업,4745,289,33,8,19700,거부
대기업,14327,960,41,5,35400,승인
중소기업,3067,921,38,1,15000,거부
전문직,18537,731,53,12,64200,승인
중소기업,4009,998,46,9,16500,거부
중소기업,11332,553,38,4,36300,승인
중소기업,3799,707,51,10,15000,거부
중소기업,6830,684,38,11,18600,거부
대기업,12388,983,54,7,47800,승인
중소기업,4922,753,91,9,16700,거부
중소기업,3027,767,56,1,15000,거부
기타,3682,974,38,6,15000,거부
중소기업,5011,725,54,1,31400,승인
대기업,9228,635,6,17,26000,승인
중소기업,5791,761,49,15,36400,승인
중소기업,5208,918,40,8,23700,승인
전문직,16177,658,39,4,57500,승인
중소기업,3392,808,49,8,15000,거부
중소기업,3233,890,46,3,15000,거부
중소기업,5123,442,29,6,23400,승인
전문직,15035,737,43,10,92600,승인
중소기업,4730,658,20,8,15300,거부
중소기업,10964,724,56,3,55100,승인
중소기업,3265,996,22,3,24100,승인
중소기업,6179,769,43,1,15700,거부
대기업,9358,921,44,4,40500,승인
대기업,7312,608,24,12,22200,승인
전문직,8603,785,21,15,24000,승인
대기업,9063,993,42,15,24800,승인
대기업,10392,76,50,5,48900,거부
전문직,12334,743,23,8,33700,승인
기타,2531,948,30,15,15000,거부
기타,2744,964,29,2,15000,거부
전문직,19398,783,36,2,88800,승인
중소기업,4209,995,22,6,17100,거부
기타,3607,910,10,9,15000,거부
대기업,6378,706,20,1,15400,거부
중소기업,9576,715,2,2,39900,승인
중소기업,11065,782,21,9,59200,승인
중소기업,4086,723,36,3,15300,거부
중소기업,3823,655,46,10,15000,거부
대기업,9247,958,32,3,22100,승인
중소기업,3452,949,33,7,16000,거부
중소기업,4845,981,94,9,17400,거부
대기업,11984,756,49,2,34000,승인
전문직,18005,801,35,7,111600,승인
중소기업,6791,767,35,4,15600,거부
대기업,6694,802,38,7,17700,거부
기타,3469,893,69,8,15000,거부
대기업,9367,701,51,4,26600,승인
대기업,8891,980,40,5,32600,승인
중소기업,4621,710,8,4,19000,거부
중소기업,3306,994,31,8,27000,승인
대기업,5232,908,38,1,15400,거부
중소기업,3617,981,31,7,15000,거부
중소기업,4564,964,25,11,28800,승인
중소기업,3102,964,38,2,17200,거부
전문직,13897,908,27,13,54300,승인
중소기업,10133,828,43,7,30200,승인
중소기업,4762,918,59,11,17600,거부
중소기업,4362,782,22,4,35800,승인
중소기업,5552,994,46,12,19500,거부
기타,5117,741,28,11,17100,거부
대기업,8203,707,30,8,31600,승인
대기업,6567,706,56,2,15300,거부
대기업,9670,747,43,7,38500,승인
중소기업,3459,983,41,5,16900,거부
전문직,19571,800,41,6,57600,승인
대기업,14057,709,34,7,34400,승인
대기업,13746,745,54,8,34400,승인
대기업,11475,983,5,3,37500,승인
중소기업,3284,990,48,10,15000,거부
중소기업,9936,965,31,4,26100,승인
중소기업,9953,913,57,3,22500,승인
중소기업,6929,936,49,12,27300,승인
대기업,13395,968,30,2,38800,승인
대기업,8495,930,26,10,34300,승인
중소기업,6118,812,46,1,17500,거부
기타,4672,852,45,2,22900,승인
대기업,8406,945,32,15,22600,승인
중소기업,3731,865,30,9,15000,거부
중소기업,3555,963,58,6,15400,거부
중소기업,3695,972,25,12,22800,거부
중소기업,3283,730,20,3,15000,거부
중소기업,4666,964,27,16,22800,승인
중소기업,3803,867,26,3,16500,거부
중소기업,3986,979,31,1,15000,거부
중소기업,3401,891,59,3,15000,거부
기타,2297,926,59,6,15000,거부
전문직,11531,51,20,5,31300,거부
대기업,5111,967,20,1,19500,거부
중소기업,8120,948,54,10,28400,승인
기타,3356,972,46,3,15000,거부
중소기업,4766,916,33,8,17700,거부
중소기업,5896,702,18,5,25800,승인
기타,10024,730,50,2,35100,승인
기타,8023,992,34,7,36100,승인
기타,3644,134,21,7,15000,거부
중소기업,3408,714,44,3,15000,거부
중소기업,7573,915,31,1,29800,승인
대기업,10634,770,44,5,39900,승인
기타,8925,922,47,1,25700,승인
대기업,6378,477,4,12,15900,거부
대기업,10847,971,49,1,72100,승인
중소기업,4928,724,41,7,15300,거부
대기업,11903,787,25,29,33400,승인
중소기업,7897,964,33,13,20100,승인
중소기업,3025,898,54,7,15000,거부
중소기업,3467,988,22,15,15000,거부
대기업,11741,763,53,4,36000,승인
중소기업,3367,852,23,29,18600,거부
중소기업,4203,670,24,13,19700,거부
대기업,13992,788,25,7,59100,승인
중소기업,11607,919,9,2,30200,승인
대기업,6166,752,53,6,19200,거부
중소기업,4473,801,17,6,19300,거부
중소기업,8300,737,30,4,22400,승인
대기업,8478,873,85,5,37800,거부
전문직,15595,699,35,11,74000,승인
중소기업,4349,967,32,3,16100,거부
중소기업,4888,692,34,10,24300,승인
전문직,7592,838,20,27,37500,승인
기타,2906,646,43,3,15000,거부
중소기업,9008,489,3,1,26400,승인
기타,10446,52,12,3,34400,거부
중소기업,5113,981,20,12,19600,거부
대기업,8357,918,22,5,28300,승인
대기업,7525,696,82,6,29800,거부
대기업,5791,986,55,5,23400,승인
중소기업,7170,909,24,13,27200,승인
중소기업,4872,929,40,10,27900,승인
중소기업,4337,702,22,1,17000,거부
기타,11837,719,21,2,30100,승인
기타,10429,950,89,1,32800,거부
기타,5756,792,29,6,18800,거부
중소기업,3726,970,59,7,15000,거부
대기업,10073,724,28,5,39300,승인
기타,3173,991,55,12,23300,거부
중소기업,4398,924,20,9,18200,거부
전문직,12631,667,20,7,40200,승인
대기업,8286,868,25,7,23400,승인
대기업,9117,717,25,14,34300,승인
기타,2871,728,28,2,15000,거부
